Output_SBP,Output_DBP
123.22987,70.803085
130.62451,74.96871
127.39102,69.888756
126.221695,72.28213
119.73514,67.9346
119.847885,68.23174
123.9375,70.12522
126.457146,72.363884
125.15115,70.51962
122.34802,68.79365
122.95558,69.85106
121.31356,67.95126
124.526245,70.58849
129.6322,73.30778
123.46418,70.51458
123.07134,69.20817
119.645584,66.882614
128.83044,72.30687
127.848206,71.6489
124.42464,71.09088
123.8084,69.79191
126.94601,70.78041
122.62192,69.41707
123.94266,69.70008
125.99483,72.29775
125.18786,69.1567
126.87511,71.45735
125.91942,70.793396
123.9214,70.9137
127.38138,70.84762
121.53477,69.144226
122.48389,69.27121
